# Ni2+, Z = 28
# Ground state: 2p6 3d8, Excited state: 2p5 3d9
# Slater-Condon integrals reduction (100% means no reduction): Fdd = 80%, Fpd = 80%, Gpd = 80%
# Spin-Orbit coupling reduction: Core - 99%, Valence - 99%
#
# C4h crystal field symmetry
# 10dq =  1.000 eV, d1 =  0.000 eV, d3 = 0.000 eV
#
# Initial states used and their weight (T = 300.0 K)
# State Energy Weight
# -1+ -2.428 (33.3%)
# 1+ -2.428 (33.3%)
# 2+ -2.428 (33.3%)
#
# Lifetime broadening (lorentzian) = 0.50
# Instrumental broadening (gaussian) = 0.10
#
parallel,right,left
-8.0702,0.24284807678728226,0.24284790544464047,0.24284790544464047
-7.969719024390244,0.4312804314163041,0.4312801243589782,0.4312801243589782
-7.869238048780487,0.5315423527305875,0.5315419684944518,0.5315419684944518
-7.768757073170732,0.5902391689126464,0.5902387341195156,0.5902387341195156
-7.668276097560976,0.6496315607584594,0.6496310725461314,0.6496310725461314
-7.567795121951219,0.7180357129805394,0.7180351621434664,0.7180351621434664
-7.467314146341463,0.7978525456258191,0.7978519204896807,0.7978519204896807
-7.366833170731708,0.8917165202611722,0.891715806262455,0.891715806262455
-7.266352195121951,1.0030200746269111,1.003019253438489,1.003019253438489
-7.165871219512195,1.1361788194984421,1.1361778678447805,1.1361778678447805
-7.0653902439024385,1.2969808204706736,1.296979708530022,1.296979708530022
-6.964909268292683,1.4930461620498368,1.4930448513157053,1.4930448513157053
-6.864428292682927,1.7343986879982867,1.7343971284798576,1.7343971284798576
-6.763947317073171,2.034087398939723,2.034085525682449,2.034085525682449
-6.6634663414634145,2.4086188145290865,2.408616543793482,2.408616543793482
-6.562985365853659,2.8775519316668503,2.8775491580605808,2.8775491580605808
-6.462504390243902,3.4608291784475433,3.460825776439581,3.460825776439581
-6.362023414634146,4.171437091861301,4.1714329288142675,4.1714329288142675
-6.261542439024391,5.001133255921178,5.001128227350852,5.001128227350852
-6.161061463414635,5.9013094944837725,5.901303588152453,5.901303588152453
-6.060580487804878,6.771063603972728,6.771056975687884,6.771056975687884
-5.960099512195122,7.471527618982123,7.471520625145543,7.471520625145543
-5.859618536585366,7.872422252146371,7.872415381039043,7.872415381039043
-5.75913756097561,7.906090442404095,7.90608416042876,7.90608416042876
-5.658656585365854,7.591323135617797,7.59131774976531,7.59131774976531
-5.558175609756098,7.01586163310325,7.015857253496222,7.015857253496222
-5.457694634146342,6.299367010275219,6.299363601563279,6.299363601563279
-5.357213658536585,5.5585267826699445,5.558524240433278,5.558524240433278
-5.256732682926829,4.880149520386386,4.880147728830159,4.880147728830159
-5.1562517073170735,4.306619905894341,4.306618769320133,4.306618769320133
-5.055770731707318,3.839479444798207,3.83947890087286,3.83947890087286
-4.955289756097562,3.458323671642912,3.458323693977763,3.458323693977763
-4.854808780487805,3.143031011679207,3.1430316051471454,3.1430316051471454
-4.754327804878049,2.885970218532177,2.8859714069054068,2.8859714069054068
-4.653846829268293,2.6895325047064045,2.6895343069425777,2.6895343069425777
-4.553365853658537,2.556404238565793,2.5564066314467406,2.5564066314467406
-4.452884878048781,2.482942181683215,2.4829450589592783,2.4829450589592783
-4.3524039024390255,2.459543530756115,2.4595466881047154,2.4595466881047154
-4.251922926829269,2.4749939346177454,2.4749971086162548,2.4749971086162548
-4.151441951219512,2.5188154678208226,2.5188184163210945,2.5188184163210945
-4.050960975609756,2.5783217445448634,2.5783243143067542,2.5783243143067542
-3.9504800000000007,2.6340960111340825,2.634098152345996,2.634098152345996
-3.849999024390245,2.6608402274925003,2.6608419645086085,2.6608419645086085
-3.749518048780488,2.635046579015541,2.635047970932898,2.635047970932898
-3.6490370731707324,2.5439365983096667,2.543937711001003,2.543937711001003
-3.5485560975609767,2.3906693532861234,2.390670245899916,2.390670245899916
-3.44807512195122,2.194304706508087,2.1943054273843567,2.1943054273843567
-3.3475941463414642,1.9828816066132497,1.9828821935739076,1.9828821935739076
-3.2471131707317085,1.7811313094100967,1.7811317915053244,1.7811317915053244
-3.146632195121952,1.600773945858709,1.6007743452842988,1.6007743452842988
-3.046151219512196,1.4400717517629646,1.4400720855086266,1.4400720855086266
-2.9456702439024394,1.2913200195780765,1.2913203007211813,1.2913203007211813
-2.8451892682926836,1.149291900414701,1.1492921390964996,1.1492921390964996
-2.744708292682928,1.0144327262781196,1.0144329304284099,1.0144329304284099
-2.644227317073171,0.8904847301321479,0.8904849060046495,0.8904849060046495
-2.5437463414634154,0.7808169501119918,0.7808171026804602,0.7808171026804602
-2.4432653658536596,0.6866741389779438,0.6866742722306732,0.6866742722306732
-2.342784390243903,0.6073455781587674,0.6073456953190217,0.6073456953190217
-2.242303414634147,0.5410276657996143,0.5410277694918857,0.5410277694918857
-2.1418224390243914,0.4855874871222903,0.48558757949871195,0.48558757949871195
-2.0413414634146347,0.4390102001541846,0.4390102829914266,0.4390102829914266
-1.940860487804879,0.3995814866303029,0.39958156140444545,0.39958156140444545
-1.8403795121951232,0.3659165460216302,0.365916613966475,0.365916613966475
-1.7398985365853665,0.33692293535182183,0.33692299750464233,0.33692299750464233
-1.6394175609756108,0.31174555018389966,0.3117456074216027,0.3117456074216027
-1.538936585365855,0.28971439770526924,0.28971445077316776,0.28971445077316776
-1.4384556097560983,0.27030153333375684,0.2703015828686276,0.2703015828686276
-1.3379746341463425,0.25308760043792783,0.2530876469865885,0.2530876469865885
-1.2374936585365868,0.23773648766026115,0.23773653169464606,0.23773653169464606
-1.13701268292683,0.22397630708507182,0.22397634901452335,0.22397634901452335
